city,x,y
Adana,-15.0 ,-115.0  
Adıyaman,145.0, -87.0
Afyonkarahisar,-310.0 ,-14.0
Ağrı,453.0, 72.0
Amasya,6.0 ,138.0
Ankara,-194.0, 88.0
Antalya,-286.0 ,-142.0
Artvin,369.0 ,188.0
Aydın,-486.0 ,-72.0
Balıkesir,-483.0 ,74.0
Bilecik,-330.0 ,97.0
Bingöl,309.0 ,17.0
Bitlis,398.0 ,-25.0
Bolu,-227.0 ,133.0
Burdur,-344.0 ,-106.0
Bursa,-406.0 ,101.0
Çanakkale,-544.0 ,104.0
Çankırı,-122.0 ,139.0
Çorum,-55.0 ,123.0
Denizli,-394.0 ,-82.0
Diyarbakır,270.0 ,-53.0
Edirne,-564.0 ,202.0
Elazığ,215.0 ,-21.0
Erzincan,212.0 ,71.0
Erzurum,339.0 ,96.0
Eskişehir,-287.0, 61.0
Gaziantep,85.0 ,-143.0
Giresun,165.0 ,140.0
Gümüşhane,222.0 ,120.0
Hakkari,508.0 ,-91.0
Hatay,30.0 ,-208.0
Isparta,-295.0, -72.0
Mersin,-114.0 ,-178.0
İstanbul,-420.0 ,198.0
İzmir,-518.0 ,-30.0
Kars,436.0 ,134.0
Kastamonu,-118.0, 203.0
Kayseri,11.0 ,-17.0
Kırklareli,-482.0, 237.0
Kırşehir,-84.0 ,29.0
Kocaeli,-348.0 ,159.0
Konya,-198.0 ,-67.0
Kütahya,-378.0 ,39.0
Malatya,129.0 ,-26.0
Manisa,-466.0, 1.0
Kahramanmaraş,59.0 ,-78.0 
Mardin,307.0 ,-115.0
Muğla,-472.0 ,-114.0
Muş,368.0 ,19.0
Nevşehir,-53.0 ,-14.0
Niğde,-51.0 ,-73.0
Ordu,106.0 ,154.0
Rize,298.0 ,167.0
Sakarya,-303.0, 151.0
Samsun,17.0 ,176.0
Siirt,399.0, -62.0
Sinop,-32.0, 207.0
Sivas,94.0 ,50.0
Tekirdağ,-494.0, 187.0
Tokat,52.0 ,113.0
Trabzon,239.0 ,154.0
Tunceli,221.0 ,22.0
Şanlıurfa,194.0 ,-134.0
Uşak,-389.0, -16.0
Van,489.0 ,-14.0
Yozgat,-32.0 ,64.0
Zonguldak,-233.0, 197.0
Aksaray,-111.0 ,-40.0
Bayburt,262.0 ,105.0
Karaman,-149.0 ,-136.0
Kırıkkale,-118.0 ,69.0
Batman,351.0 ,-75.0
Şırnak,413.0 ,-104.0
Bartın,-174.0 ,218.0
Ardahan,425.0, 184.0
Iğdır,496.0 ,101.0
Yalova,-397.0 ,148.0
Karabük,-176.0, 175.0
Kilis,85.0 ,-167.0
Osmaniye,32.0 ,-130.0
Düzce,-255.0, 157.0

